id,title,handle,product_type,vendor,status,published_at,image_url,tags,body_html,created_at,updated_at
1000095,Essential T-Shirt,essential-t-shirt,Tops,Northwind Co.,active,2023-05-10T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt.jpg,"tops,t-shirts",<p>The Essential T-Shirt by Northwind Co.</p>,2023-05-10T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000096,Classic T-Shirt 2,classic-t-shirt-2,Tops,Northwind Co.,active,2022-06-17T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-2.jpg,"tops,t-shirts",<p>The Classic T-Shirt 2 by Northwind Co.</p>,2022-06-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000097,Organic T-Shirt 3,organic-t-shirt-3,Tops,Northwind Co.,active,2022-06-26T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-3.jpg,"tops,t-shirts",<p>The Organic T-Shirt 3 by Northwind Co.</p>,2022-06-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000098,Vintage T-Shirt 4,vintage-t-shirt-4,Tops,Northwind Co.,active,2023-05-18T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-4.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 4 by Northwind Co.</p>,2023-05-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000099,Relaxed T-Shirt 5,relaxed-t-shirt-5,Tops,Northwind Co.,active,2022-12-06T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-5.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 5 by Northwind Co.</p>,2022-12-06T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000100,Boxy T-Shirt 6,boxy-t-shirt-6,Tops,Northwind Co.,active,2022-06-03T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-6.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 6 by Northwind Co.</p>,2022-06-03T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000101,Slim T-Shirt 7,slim-t-shirt-7,Tops,Northwind Co.,active,2024-05-20T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-7.jpg,"tops,t-shirts",<p>The Slim T-Shirt 7 by Northwind Co.</p>,2024-05-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000102,Essential T-Shirt 8,essential-t-shirt-8,Tops,Northwind Co.,active,2022-08-25T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-8.jpg,"tops,t-shirts",<p>The Essential T-Shirt 8 by Northwind Co.</p>,2022-08-25T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000103,Classic T-Shirt 9,classic-t-shirt-9,Tops,Northwind Co.,active,2023-11-26T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-9.jpg,"tops,t-shirts",<p>The Classic T-Shirt 9 by Northwind Co.</p>,2023-11-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000104,Organic T-Shirt 10,organic-t-shirt-10,Tops,Northwind Co.,active,2024-11-25T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-10.jpg,"tops,t-shirts",<p>The Organic T-Shirt 10 by Northwind Co.</p>,2024-11-25T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000105,Vintage T-Shirt 11,vintage-t-shirt-11,Tops,Northwind Co.,active,2023-03-11T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-11.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 11 by Northwind Co.</p>,2023-03-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000106,Relaxed T-Shirt 12,relaxed-t-shirt-12,Tops,Northwind Co.,active,2024-07-23T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-12.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 12 by Northwind Co.</p>,2024-07-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000107,Boxy T-Shirt 13,boxy-t-shirt-13,Tops,Northwind Co.,active,2024-04-23T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-13.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 13 by Northwind Co.</p>,2024-04-23T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000108,Slim T-Shirt 14,slim-t-shirt-14,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-14.jpg,"tops,t-shirts",<p>The Slim T-Shirt 14 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000109,Essential T-Shirt 15,essential-t-shirt-15,Tops,Northwind Co.,active,2023-05-18T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-15.jpg,"tops,t-shirts",<p>The Essential T-Shirt 15 by Northwind Co.</p>,2023-05-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000110,Classic T-Shirt 16,classic-t-shirt-16,Tops,Northwind Co.,active,2024-01-04T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-16.jpg,"tops,t-shirts",<p>The Classic T-Shirt 16 by Northwind Co.</p>,2024-01-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000111,Organic T-Shirt 17,organic-t-shirt-17,Tops,Northwind Co.,active,2024-05-05T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-17.jpg,"tops,t-shirts",<p>The Organic T-Shirt 17 by Northwind Co.</p>,2024-05-05T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000112,Vintage T-Shirt 18,vintage-t-shirt-18,Tops,Northwind Co.,active,2022-11-03T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-18.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 18 by Northwind Co.</p>,2022-11-03T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000113,Relaxed T-Shirt 19,relaxed-t-shirt-19,Tops,Northwind Co.,active,2023-01-13T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-19.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 19 by Northwind Co.</p>,2023-01-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000114,Boxy T-Shirt 20,boxy-t-shirt-20,Tops,Northwind Co.,active,2024-12-13T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-20.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 20 by Northwind Co.</p>,2024-12-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000115,Slim T-Shirt 21,slim-t-shirt-21,Tops,Northwind Co.,active,2023-05-25T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-21.jpg,"tops,t-shirts",<p>The Slim T-Shirt 21 by Northwind Co.</p>,2023-05-25T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000116,Essential T-Shirt 22,essential-t-shirt-22,Tops,Northwind Co.,active,2024-07-22T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-22.jpg,"tops,t-shirts",<p>The Essential T-Shirt 22 by Northwind Co.</p>,2024-07-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000117,Classic T-Shirt 23,classic-t-shirt-23,Tops,Northwind Co.,active,2023-02-26T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-23.jpg,"tops,t-shirts",<p>The Classic T-Shirt 23 by Northwind Co.</p>,2023-02-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000118,Organic T-Shirt 24,organic-t-shirt-24,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-24.jpg,"tops,t-shirts",<p>The Organic T-Shirt 24 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000119,Vintage T-Shirt 25,vintage-t-shirt-25,Tops,Northwind Co.,active,2024-06-13T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-25.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 25 by Northwind Co.</p>,2024-06-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000120,Relaxed T-Shirt 26,relaxed-t-shirt-26,Tops,Northwind Co.,active,2022-06-09T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-26.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 26 by Northwind Co.</p>,2022-06-09T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000121,Boxy T-Shirt 27,boxy-t-shirt-27,Tops,Northwind Co.,active,2023-04-17T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-27.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 27 by Northwind Co.</p>,2023-04-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000122,Slim T-Shirt 28,slim-t-shirt-28,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-28.jpg,"tops,t-shirts",<p>The Slim T-Shirt 28 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000123,Essential T-Shirt 29,essential-t-shirt-29,Tops,Northwind Co.,active,2024-12-13T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-29.jpg,"tops,t-shirts",<p>The Essential T-Shirt 29 by Northwind Co.</p>,2024-12-13T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000124,Classic T-Shirt 30,classic-t-shirt-30,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-30.jpg,"tops,t-shirts",<p>The Classic T-Shirt 30 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000125,Organic T-Shirt 31,organic-t-shirt-31,Tops,Northwind Co.,active,2023-02-12T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-31.jpg,"tops,t-shirts",<p>The Organic T-Shirt 31 by Northwind Co.</p>,2023-02-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000126,Vintage T-Shirt 32,vintage-t-shirt-32,Tops,Northwind Co.,active,2022-07-03T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-32.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 32 by Northwind Co.</p>,2022-07-03T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000127,Relaxed T-Shirt 33,relaxed-t-shirt-33,Tops,Northwind Co.,active,2022-07-12T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-33.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 33 by Northwind Co.</p>,2022-07-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000128,Boxy T-Shirt 34,boxy-t-shirt-34,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-34.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 34 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000129,Slim T-Shirt 35,slim-t-shirt-35,Tops,Northwind Co.,active,2024-09-19T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-35.jpg,"tops,t-shirts",<p>The Slim T-Shirt 35 by Northwind Co.</p>,2024-09-19T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000130,Essential T-Shirt 36,essential-t-shirt-36,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-36.jpg,"tops,t-shirts",<p>The Essential T-Shirt 36 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000131,Classic T-Shirt 37,classic-t-shirt-37,Tops,Northwind Co.,active,2023-11-02T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-37.jpg,"tops,t-shirts",<p>The Classic T-Shirt 37 by Northwind Co.</p>,2023-11-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000132,Organic T-Shirt 38,organic-t-shirt-38,Tops,Northwind Co.,active,2024-07-05T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-38.jpg,"tops,t-shirts",<p>The Organic T-Shirt 38 by Northwind Co.</p>,2024-07-05T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000133,Vintage T-Shirt 39,vintage-t-shirt-39,Tops,Northwind Co.,active,2023-09-27T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-39.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 39 by Northwind Co.</p>,2023-09-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000134,Relaxed T-Shirt 40,relaxed-t-shirt-40,Tops,Northwind Co.,active,2024-12-05T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-40.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 40 by Northwind Co.</p>,2024-12-05T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000135,Boxy T-Shirt 41,boxy-t-shirt-41,Tops,Northwind Co.,active,2023-03-08T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-41.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 41 by Northwind Co.</p>,2023-03-08T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000136,Slim T-Shirt 42,slim-t-shirt-42,Tops,Northwind Co.,active,2024-09-04T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-42.jpg,"tops,t-shirts",<p>The Slim T-Shirt 42 by Northwind Co.</p>,2024-09-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000137,Essential T-Shirt 43,essential-t-shirt-43,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-43.jpg,"tops,t-shirts",<p>The Essential T-Shirt 43 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000138,Classic T-Shirt 44,classic-t-shirt-44,Tops,Northwind Co.,active,2022-06-24T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-44.jpg,"tops,t-shirts",<p>The Classic T-Shirt 44 by Northwind Co.</p>,2022-06-24T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000139,Organic T-Shirt 45,organic-t-shirt-45,Tops,Northwind Co.,active,2023-05-26T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-45.jpg,"tops,t-shirts",<p>The Organic T-Shirt 45 by Northwind Co.</p>,2023-05-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000140,Vintage T-Shirt 46,vintage-t-shirt-46,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-46.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 46 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000141,Relaxed T-Shirt 47,relaxed-t-shirt-47,Tops,Northwind Co.,active,2023-01-08T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-47.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 47 by Northwind Co.</p>,2023-01-08T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000142,Boxy T-Shirt 48,boxy-t-shirt-48,Tops,Northwind Co.,active,2024-02-17T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-48.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 48 by Northwind Co.</p>,2024-02-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000143,Slim T-Shirt 49,slim-t-shirt-49,Tops,Northwind Co.,active,2022-12-05T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-49.jpg,"tops,t-shirts",<p>The Slim T-Shirt 49 by Northwind Co.</p>,2022-12-05T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000144,Essential T-Shirt 50,essential-t-shirt-50,Tops,Northwind Co.,active,2023-05-16T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-50.jpg,"tops,t-shirts",<p>The Essential T-Shirt 50 by Northwind Co.</p>,2023-05-16T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000145,Classic T-Shirt 51,classic-t-shirt-51,Tops,Northwind Co.,active,2023-04-27T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-51.jpg,"tops,t-shirts",<p>The Classic T-Shirt 51 by Northwind Co.</p>,2023-04-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000146,Organic T-Shirt 52,organic-t-shirt-52,Tops,Northwind Co.,active,2023-01-01T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-52.jpg,"tops,t-shirts",<p>The Organic T-Shirt 52 by Northwind Co.</p>,2023-01-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000147,Vintage T-Shirt 53,vintage-t-shirt-53,Tops,Northwind Co.,active,2022-09-07T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-53.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 53 by Northwind Co.</p>,2022-09-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000148,Relaxed T-Shirt 54,relaxed-t-shirt-54,Tops,Northwind Co.,active,2023-10-17T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-54.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 54 by Northwind Co.</p>,2023-10-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000149,Boxy T-Shirt 55,boxy-t-shirt-55,Tops,Northwind Co.,active,2024-08-10T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-55.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 55 by Northwind Co.</p>,2024-08-10T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000150,Slim T-Shirt 56,slim-t-shirt-56,Tops,Northwind Co.,active,2023-11-15T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-56.jpg,"tops,t-shirts",<p>The Slim T-Shirt 56 by Northwind Co.</p>,2023-11-15T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000151,Essential T-Shirt 57,essential-t-shirt-57,Tops,Northwind Co.,active,2024-06-12T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-57.jpg,"tops,t-shirts",<p>The Essential T-Shirt 57 by Northwind Co.</p>,2024-06-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000152,Classic T-Shirt 58,classic-t-shirt-58,Tops,Northwind Co.,active,2023-03-26T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-58.jpg,"tops,t-shirts",<p>The Classic T-Shirt 58 by Northwind Co.</p>,2023-03-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000153,Organic T-Shirt 59,organic-t-shirt-59,Tops,Northwind Co.,active,2024-11-09T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-59.jpg,"tops,t-shirts",<p>The Organic T-Shirt 59 by Northwind Co.</p>,2024-11-09T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000154,Vintage T-Shirt 60,vintage-t-shirt-60,Tops,Northwind Co.,active,2023-12-22T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-60.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 60 by Northwind Co.</p>,2023-12-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000155,Relaxed T-Shirt 61,relaxed-t-shirt-61,Tops,Northwind Co.,active,2024-09-03T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-61.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 61 by Northwind Co.</p>,2024-09-03T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000156,Boxy T-Shirt 62,boxy-t-shirt-62,Tops,Northwind Co.,active,2022-12-04T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-62.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 62 by Northwind Co.</p>,2022-12-04T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000157,Slim T-Shirt 63,slim-t-shirt-63,Tops,Northwind Co.,active,2024-04-07T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-63.jpg,"tops,t-shirts",<p>The Slim T-Shirt 63 by Northwind Co.</p>,2024-04-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000158,Essential T-Shirt 64,essential-t-shirt-64,Tops,Northwind Co.,active,2024-02-09T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-64.jpg,"tops,t-shirts",<p>The Essential T-Shirt 64 by Northwind Co.</p>,2024-02-09T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000159,Classic T-Shirt 65,classic-t-shirt-65,Tops,Northwind Co.,active,2024-06-18T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-65.jpg,"tops,t-shirts",<p>The Classic T-Shirt 65 by Northwind Co.</p>,2024-06-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000160,Organic T-Shirt 66,organic-t-shirt-66,Tops,Northwind Co.,active,2024-03-01T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-66.jpg,"tops,t-shirts",<p>The Organic T-Shirt 66 by Northwind Co.</p>,2024-03-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000161,Vintage T-Shirt 67,vintage-t-shirt-67,Tops,Northwind Co.,active,2022-12-16T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-67.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 67 by Northwind Co.</p>,2022-12-16T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000162,Relaxed T-Shirt 68,relaxed-t-shirt-68,Tops,Northwind Co.,active,2024-07-01T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-68.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 68 by Northwind Co.</p>,2024-07-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000163,Boxy T-Shirt 69,boxy-t-shirt-69,Tops,Northwind Co.,active,2024-05-01T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-69.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 69 by Northwind Co.</p>,2024-05-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000164,Slim T-Shirt 70,slim-t-shirt-70,Tops,Northwind Co.,active,2024-05-02T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-70.jpg,"tops,t-shirts",<p>The Slim T-Shirt 70 by Northwind Co.</p>,2024-05-02T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000165,Essential T-Shirt 71,essential-t-shirt-71,Tops,Northwind Co.,active,2023-10-19T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-71.jpg,"tops,t-shirts",<p>The Essential T-Shirt 71 by Northwind Co.</p>,2023-10-19T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000166,Classic T-Shirt 72,classic-t-shirt-72,Tops,Northwind Co.,active,2022-11-22T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-72.jpg,"tops,t-shirts",<p>The Classic T-Shirt 72 by Northwind Co.</p>,2022-11-22T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000167,Organic T-Shirt 73,organic-t-shirt-73,Tops,Northwind Co.,active,2023-02-18T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-73.jpg,"tops,t-shirts",<p>The Organic T-Shirt 73 by Northwind Co.</p>,2023-02-18T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000168,Vintage T-Shirt 74,vintage-t-shirt-74,Tops,Northwind Co.,active,2023-08-07T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-74.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 74 by Northwind Co.</p>,2023-08-07T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000169,Relaxed T-Shirt 75,relaxed-t-shirt-75,Tops,Northwind Co.,active,2022-11-26T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-75.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 75 by Northwind Co.</p>,2022-11-26T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000170,Boxy T-Shirt 76,boxy-t-shirt-76,Tops,Northwind Co.,active,2024-07-01T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-76.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 76 by Northwind Co.</p>,2024-07-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000171,Slim T-Shirt 77,slim-t-shirt-77,Tops,Northwind Co.,active,2022-06-01T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-77.jpg,"tops,t-shirts",<p>The Slim T-Shirt 77 by Northwind Co.</p>,2022-06-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000172,Essential T-Shirt 78,essential-t-shirt-78,Tops,Northwind Co.,active,2022-07-12T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-78.jpg,"tops,t-shirts",<p>The Essential T-Shirt 78 by Northwind Co.</p>,2022-07-12T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000173,Classic T-Shirt 79,classic-t-shirt-79,Tops,Northwind Co.,active,2024-04-16T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-79.jpg,"tops,t-shirts",<p>The Classic T-Shirt 79 by Northwind Co.</p>,2024-04-16T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000174,Organic T-Shirt 80,organic-t-shirt-80,Tops,Northwind Co.,active,2023-07-17T00:00:00+00:00,https://cdn.northwindco.com/products/organic-t-shirt-80.jpg,"tops,t-shirts",<p>The Organic T-Shirt 80 by Northwind Co.</p>,2023-07-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000175,Vintage T-Shirt 81,vintage-t-shirt-81,Tops,Northwind Co.,active,2024-02-16T00:00:00+00:00,https://cdn.northwindco.com/products/vintage-t-shirt-81.jpg,"tops,t-shirts",<p>The Vintage T-Shirt 81 by Northwind Co.</p>,2024-02-16T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000176,Relaxed T-Shirt 82,relaxed-t-shirt-82,Tops,Northwind Co.,active,2024-04-11T00:00:00+00:00,https://cdn.northwindco.com/products/relaxed-t-shirt-82.jpg,"tops,t-shirts",<p>The Relaxed T-Shirt 82 by Northwind Co.</p>,2024-04-11T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000177,Boxy T-Shirt 83,boxy-t-shirt-83,Tops,Northwind Co.,active,2024-10-20T00:00:00+00:00,https://cdn.northwindco.com/products/boxy-t-shirt-83.jpg,"tops,t-shirts",<p>The Boxy T-Shirt 83 by Northwind Co.</p>,2024-10-20T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000178,Slim T-Shirt 84,slim-t-shirt-84,Tops,Northwind Co.,active,2023-07-01T00:00:00+00:00,https://cdn.northwindco.com/products/slim-t-shirt-84.jpg,"tops,t-shirts",<p>The Slim T-Shirt 84 by Northwind Co.</p>,2023-07-01T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000179,Essential T-Shirt 85,essential-t-shirt-85,Tops,Northwind Co.,active,2022-09-17T00:00:00+00:00,https://cdn.northwindco.com/products/essential-t-shirt-85.jpg,"tops,t-shirts",<p>The Essential T-Shirt 85 by Northwind Co.</p>,2022-09-17T00:00:00+00:00,2026-12-31T23:59:00+00:00
1000180,Classic T-Shirt 86,classic-t-shirt-86,Tops,Northwind Co.,active,2022-12-27T00:00:00+00:00,https://cdn.northwindco.com/products/classic-t-shirt-86.jpg,"tops,t-shirts",<p>The Classic T-Shirt 86 by Northwind Co.</p>,2022-12-27T00:00:00+00:00,2026-12-31T23:59:00+00:00
